label,delta_x,delta_total,velocity,angle,delta_tip2,dist_thumb,dist_index,dist_middle,dist_ring,dist_pinky,index_ratio
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,-44,46.487,0.775,-2.813,36.056,127.472,203.364,204.883,192.481,166.973,1.081
0,16,50.596,0.843,-1.249,44.045,129.356,197.203,192.317,173.118,146.031,1.157
0,30,66.189,1.103,-1.1,39.395,129.004,148.084,145.715,142.004,137.928,1.044
0,46,80.449,1.341,-0.962,29.069,130.908,143.402,138.13,133.195,130.782,1.07
0,55,93.814,1.564,-0.944,47.17,133.454,169.056,164.21,154.496,142.594,1.099
0,61,101.4,1.69,-0.925,74.813,135.831,176.207,172.887,163.248,140.132,1.11
0,70,103.325,1.722,-0.826,107.615,135.385,174.771,171.82,157.544,132.189,1.136
0,80,113.137,1.886,-0.785,149.215,136.927,190.536,183.897,169.402,140.428,1.158
0,79,110.318,1.839,-0.773,184.762,140.52,194.733,188.351,174.23,143.892,1.153
0,74,102.552,1.709,-0.765,201.102,140.428,196.125,190.318,173.113,143.265,1.161
0,70,98.29,1.638,-0.778,208.849,136.125,193.052,189.842,174.155,144.402,1.139
0,62,89.107,1.485,-0.801,201.01,135.44,189.169,185.397,169.532,143.656,1.138
0,57,82.037,1.367,-0.803,186.172,133.15,188.807,185.267,173.046,146.24,1.123
0,43,69.029,1.15,-0.898,154.987,126.874,182.877,181.466,170.581,144.516,1.105
0,43,65.947,1.099,-0.861,117.388,115.953,176.105,173.643,163.478,143.028,1.1
0,5,31.401,0.523,-1.411,48.836,115.382,172.409,169.095,160.59,143.283,1.094
0,6,28.636,0.477,-1.36,53.413,114.039,167.815,169.169,164.976,146.031,1.048
0,6,27.659,0.461,-1.352,56.223,110.209,161.137,161.608,155.563,139.23,1.059
0,5,25.495,0.425,-1.373,54.489,113.952,195.359,200.18,191.76,168.048,1.047
0,1,20.025,0.334,-1.521,51.74,117.886,201.427,208.406,197.205,171.143,1.048
0,-8,21.541,0.359,-1.951,54.203,125.766,204.267,212.132,202.04,172.557,1.044
0,-15,19.849,0.331,-2.428,53.907,128.565,203.652,212.325,200.529,173.416,1.042
0,-25,29.682,0.495,-2.572,69.116,132.019,204.475,214.981,201.936,173.485,1.039
0,-25,29.682,0.495,-2.572,69.116,132.019,204.475,214.981,201.936,173.485,1.039
0,-25,29.682,0.495,-2.572,69.116,132.019,204.475,214.981,201.936,173.485,1.039
0,-25,29.682,0.495,-2.572,69.116,132.019,204.475,214.981,201.936,173.485,1.039
0,-25,29.682,0.495,-2.572,69.116,132.019,204.475,214.981,201.936,173.485,1.039
0,-104,106.301,1.772,-2.933,247.477,133.959,205.507,215.232,205.883,172.351,1.039
0,-114,115.918,1.932,-2.959,272.947,134.172,204.863,216.453,204.893,172.247,1.035
0,-122,124.535,2.076,-2.939,303.152,136.062,201.445,205.798,196.311,168.297,1.059
0,-126,129.074,2.151,-2.923,330.068,138.521,195.724,198.338,187.856,159.831,1.075
0,-126,131.32,2.189,-2.856,351.319,145.399,186.344,180.887,171.094,145.962,1.123
0,-118,127.016,2.117,-2.763,358.805,146.697,188.098,170.294,146.328,131.244,1.26
0,-105,120.934,2.016,-2.622,356.202,147.136,186.325,174.522,155.081,134.97,1.203
0,-88,110.0,1.833,-2.498,342.94,126.59,153.708,172.418,166.676,156.237,0.931
0,-63,104.202,1.737,-2.22,299.822,130.115,162.25,174.645,169.358,160.723,0.964
0,-45,99.73,1.662,-2.039,237.428,130.108,162.865,179.547,176.556,162.561,0.942
0,-21,100.225,1.67,-1.782,187.481,126.621,165.723,183.273,180.898,166.027,0.938
0,1,95.005,1.583,-1.56,109.59,128.035,168.003,186.172,183.096,168.573,0.937
0,30,97.719,1.629,-1.259,85.866,131.529,174.256,190.591,188.449,173.0,0.947
0,60,110.675,1.845,-0.998,107.079,134.35,176.162,192.666,190.379,174.614,0.948
0,74,108.977,1.816,-0.824,124.619,133.004,177.418,193.747,192.315,176.528,0.946
0,81,109.041,1.817,-0.733,174.725,133.66,179.936,194.928,192.211,178.16,0.955
0,99,124.808,2.08,-0.655,203.039,132.382,182.789,196.825,195.208,180.081,0.958
0,106,123.309,2.055,-0.536,221.298,135.207,185.0,200.998,198.091,182.003,0.955
0,106,119.419,1.99,-0.479,234.401,135.37,189.737,204.083,201.062,184.889,0.965
0,100,111.36,1.856,-0.456,241.346,131.034,192.585,208.062,205.088,185.162,0.966
0,96,104.0,1.733,-0.395,247.645,135.602,198.64,212.596,209.0,189.19,0.976
0,90,95.859,1.598,-0.351,255.157,135.602,204.022,216.689,213.009,189.423,0.989
0,76,81.345,1.356,-0.365,249.201,136.4,206.93,218.929,214.009,191.366,0.994
0,55,59.615,0.994,-0.396,242.786,135.801,209.504,220.912,215.009,190.394,1.004
0,24,29.411,0.49,-0.616,224.368,138.224,210.953,223.294,216.021,191.638,1.003
0,-32,32.14,0.536,-3.048,71.063,141.113,213.214,223.504,216.52,193.228,1.01
0,-40,40.112,0.669,-3.067,44.045,141.485,213.19,223.0,212.72,190.709,1.021
0,-47,47.043,0.784,-3.099,7.616,145.248,210.038,218.0,205.913,181.618,1.041
0,-55,55.082,0.918,3.087,55.902,142.874,142.352,126.495,119.105,119.252,1.17
0,-55,55.082,0.918,3.087,55.902,142.874,142.352,126.495,119.105,119.252,1.17
0,-55,55.082,0.918,3.087,55.902,142.874,142.352,126.495,119.105,119.252,1.17
